sku;fecha;udsVenta
1;20200519;35
1;20200520;28
1;20200521;63
1;20200522;42
1;20200523;28
1;20200524;0
1;20200525;42
1;20200526;56
1;20200527;35
1;20200528;28
1;20200529;63
1;20200530;0
1;20200531;0
1;20200601;0
1;20200602;0
1;20200603;21
1;20200604;21
1;20200605;28
1;20200606;70
1;20200607;0
1;20200608;28
1;20200609;21
1;20200610;49
1;20200611;35
1;20200612;0
1;20200613;56
1;20200614;0
1;20200615;70
1;20200616;21
1;20200617;7
1;20200618;77
1;20200619;49
1;20200620;35
1;20200621;0
1;20200622;56
1;20200623;28
1;20200624;0
1;20200625;56
1;20200626;63
1;20200627;35
1;20200628;0
1;20200629;28
1;20200630;35
1;20200701;63
1;20200702;77
1;20200703;28
1;20200704;56
1;20200705;0
1;20200706;126
1;20200707;21
1;20200708;42
1;20200709;42
1;20200710;28
1;20200711;42
1;20200712;0
1;20200713;56
1;20200714;28
1;20200715;42
1;20200716;7
1;20200717;56
1;20200718;56
1;20200719;0
1;20200720;28
1;20200721;84
1;20200722;21
1;20200723;35
1;20200724;21
1;20200725;49
1;20200726;0
1;20200727;56
1;20200728;105
1;20200729;63
1;20200730;49
1;20200731;28
1;20200801;196
1;20200802;0
1;20200803;28
1;20200804;35
1;20200805;7
1;20200806;42
1;20200807;56
1;20200808;84
1;20200809;0
1;20200810;84
1;20200811;126
1;20200812;77
1;20200813;91
1;20200814;42
1;20200815;0
1;20200816;0
1;20200817;35
1;20200818;63
1;20200819;105
1;20200820;35
1;20200821;35
1;20200822;0
1;20200823;0
1;20200824;0
1;20200825;0
1;20200826;0
1;20200827;0
1;20200828;0
1;20200829;0
1;20200830;0
1;20200831;0
1;20200901;0
1;20200902;21
1;20200903;56
1;20200904;14
1;20200905;35
1;20200906;0
1;20200907;42
1;20200908;7
1;20200909;14
1;20200910;0
1;20200911;0
1;20200912;0
1;20200913;0
1;20200914;0
1;20200915;0
1;20200916;0
1;20200917;0
1;20200918;14
1;20200919;56
1;20200920;0
1;20200921;14
1;20200922;42
1;20200923;14
1;20200924;21
1;20200925;63
1;20200926;28
1;20200927;0
1;20200928;28
1;20200929;28
1;20200930;28
1;20201001;21
1;20201002;28
1;20201003;28
1;20201004;0
1;20201005;14
1;20201006;21
1;20201007;14
1;20201008;7
1;20201009;91
1;20201010;70
1;20201011;0
1;20201012;7
1;20201013;42
1;20201014;91
1;20201015;77
1;20201016;28
1;20201017;35
1;20201018;0
1;20201019;49
1;20201020;28
1;20201021;77
1;20201022;70
1;20201023;21
1;20201024;35
1;20201025;0
1;20201026;7
1;20201027;14
1;20201028;35
1;20201029;63
1;20201030;42
1;20201031;28
1;20201101;0
1;20201102;49
1;20201103;14
1;20201104;14
1;20201105;42
1;20201106;28
1;20201107;28
1;20201108;0
1;20201109;35
1;20201110;14
1;20201111;42
1;20201112;7
1;20201113;21
1;20201114;14
1;20201115;0
1;20201116;35
1;20201117;49
1;20201118;63
1;20201119;35
1;20201120;42
1;20201121;70
1;20201122;0
1;20201123;42
1;20201124;28
1;20201125;14
1;20201126;21
1;20201127;28
1;20201128;21
1;20201129;0
1;20201130;7
1;20201201;28
1;20201202;21
1;20201203;35
1;20201204;35
1;20201205;28
1;20201206;0
1;20201207;35
1;20201208;0
1;20201209;21
1;20201210;42
1;20201211;28
1;20201212;35
1;20201213;0
1;20201214;21
1;20201215;28
1;20201216;35
1;20201217;14
1;20201218;21
1;20201219;21
1;20201220;0
1;20201221;0
1;20201222;56
1;20201223;42
1;20201224;21
1;20201225;0
1;20201226;0
1;20201227;0
1;20201228;49
1;20201229;63
1;20201230;35
1;20201231;14
1;20210101;0
1;20210102;42
1;20210103;0
1;20210104;56
1;20210105;49
1;20210106;0
1;20210107;21
1;20210108;49
1;20210109;7
1;20210110;0
1;20210111;56
1;20210112;14
1;20210113;42
1;20210114;7
1;20210115;28
1;20210116;21
1;20210117;0
1;20210118;28
1;20210119;28
1;20210120;56
1;20210121;28
1;20210122;56
1;20210123;21
1;20210124;0
1;20210125;7
1;20210126;42
1;20210127;7
1;20210128;35
1;20210129;35
1;20210130;35
1;20210131;0
1;20210201;49
1;20210202;56
1;20210203;7
1;20210204;21
1;20210205;49
1;20210206;28
1;20210207;0
1;20210208;63
1;20210209;14
1;20210210;21
1;20210211;28
1;20210212;91
1;20210213;0
1;20210214;0
1;20210215;21
1;20210216;35
1;20210217;0
1;20210218;56
1;20210219;21
1;20210220;21
1;20210221;0
1;20210222;28
1;20210223;56
1;20210224;42
1;20210225;49
1;20210226;35
1;20210227;56
1;20210228;0
1;20210301;35
1;20210302;14
1;20210303;35
1;20210304;35
1;20210305;7
1;20210306;42
1;20210307;0
1;20210308;56
1;20210309;14
1;20210310;35
1;20210311;84
1;20210312;91
1;20210313;49
1;20210314;0
1;20210315;84
1;20210316;42
1;20210317;63
1;20210318;42
1;20210319;84
1;20210320;35
1;20210321;0
1;20210322;42
1;20210323;56
1;20210324;56
1;20210325;49
1;20210326;70
1;20210327;21
1;20210328;0
1;20210329;42
1;20210330;70
1;20210331;49
1;20210401;42
1;20210402;0
1;20210403;42
1;20210404;0
1;20210405;0
1;20210406;63
1;20210407;84
1;20210408;14
1;20210409;63
1;20210410;14
1;20210411;0
1;20210412;42
1;20210413;28
1;20210414;28
1;20210415;49
1;20210416;21
1;20210417;35
1;20210418;0
1;20210419;42
1;20210420;14
1;20210421;28
1;20210422;42
1;20210423;70
